site_community,ARA_nr,year,catchment_size,fraction_arable,fraction_orchard,fraction_pasture,fraction_forested,fraction_urban,fraction_agri_intense,Q_347,Q_mean,QWW_dry ,fraction_WW_Q_mean,fraction_WW_Q_347
Aadorf,455100,2014,35.0,0.16,0.01,0.32,0.36,0.14,0.48,16855,64800,5277,0.081,0.313
Birmensdorf,24201,2014,46.7,0.22,0.01,0.21,0.38,0.16,0.43,13997,84672,8575,0.101,0.613
Buttisholz,108300,2013,6.8,0.42,0.04,0.32,0.11,0.14,0.74,2022,11232,1107,0.099,0.547
Colombey,563000,2013,11.8,0.81,0.01,0.04,0.07,0.08,0.85,1460,15552,334,0.021,0.229
Duernten,11301,2013,17.4,0.16,0.02,0.44,0.17,0.21,0.60,6471,63072,2372,0.038,0.367
Elgg,21701,2014,13.3,0.27,0.01,0.19,0.41,0.13,0.46,3292,37152,1446,0.039,0.439
Ellikon,21801,2014,24.1,0.55,0.02,0.11,0.19,0.14,0.66,6178,27648,2546,0.092,0.412
Herisau,300102,2013,16.3,0.01,0.01,0.54,0.24,0.20,0.55,11007,42336,6462,0.153,0.587
Hochdorf,103100,2013,28.1,0.47,0.04,0.26,0.13,0.14,0.73,14869,50976,4614,0.091,0.310
Hornussen,416700,2013,37.0,0.29,0.01,0.20,0.43,0.08,0.49,2765,48384,1278,0.026,0.462
Kernten,41100,2013,65.9,0.43,0.02,0.08,0.29,0.18,0.51,31277,119232,11261,0.094,0.360
Knonau,701,2014,16.6,0.41,0.01,0.24,0.20,0.14,0.65,3637,33696,2183,0.065,0.600
Marthalen,3501,2014,26.5,0.54,0.01,0.10,0.21,0.13,0.64,6138,25920,1472,0.057,0.240
Messen,245700,2013,37.4,0.50,0.02,0.11,0.32,0.07,0.61,10480,70848,2284,0.032,0.218
Muri,423600,2014,15.5,0.43,0.02,0.23,0.19,0.15,0.66,5011,32832,3047,0.093,0.608
Niederdorf,289100,2013,25.1,0.12,0.03,0.33,0.46,0.08,0.45,9815,36288,2142,0.059,0.218
Reinach,414100,2014,43.6,0.44,0.02,0.20,0.20,0.15,0.64,25047,74304,12546,0.169,0.501
Romont,209600,2013,47.6,0.35,0.01,0.39,0.16,0.10,0.74,18040,93312,4425,0.047,0.245
Rothenthurm,137000,2013,7.4,0.00,0.00,0.47,0.46,0.06,0.47,3223,23328,825,0.035,0.256
Severy,550000,2013,7.2,0.32,0.00,0.10,0.52,0.06,0.42,1339,7776,414,0.053,0.309
Unterehrendingen,404300,2014,30.3,0.39,0.02,0.20,0.27,0.14,0.59,13815,41472,4120,0.099,0.298
Val de Ruz,647600,2014,63.7,0.17,0.00,0.34,0.43,0.05,0.51,5064,141696,4379,0.031,0.865
Villeret,44800,2014,63.0,0.05,0.00,0.48,0.40,0.07,0.53,9609,175392,2697,0.015,0.281
Zullwil,262200,2014,7.1,0.07,0.04,0.39,0.45,0.09,0.46,1682,12096,473,0.039,0.281
