site_code,site_position_US,site_location,site_community,locality_raw,canton,x_coord,y_coord,elevation
AAD_E,NA,Effluent,Aadorf,Lützelmurg_Aadorf_DoStr_0,TG,NA,NA,NA
AAD_D,NA,Downstream,Aadorf,Lützelmurg_Aadorf_DoStr_0,TG,709580,262164,498
AAD_U_1,1,Upstream,Aadorf,Lützelmurg_Aadorf_UpStr_1,TG,709598,262046,500
AAD_U_2,2,Upstream,Aadorf,Lützelmurg_Aadorf_UpStr_2,TG,709692,261952,501
BIR_E,NA,Effluent,Birmensdorf,Reppisch_Birmensdorf_DoStr_0,ZH,NA,NA,NA
BIR_D,NA,Downstream,Birmensdorf,Reppisch_Birmensdorf_DoStr_0,ZH,674112,246268,452
BIR_U_1,1,Upstream,Birmensdorf,Reppisch_Birmensdorf_UpStr_1,ZH,674181,246184,453
BIR_U_2,2,Upstream,Birmensdorf,Reppisch_Birmensdorf_UpStr_2,ZH,674283,246120,454
BUT_E,NA,Effluent,Buttisholz,Rot_Zufl_Buttisholz_DoStr_0,LU,NA,NA,NA
BUT_D,NA,Downstream,Buttisholz,Rot_Zufl_Buttisholz_DoStr_0,LU,648056,218384,548
BUT_U_1,1,Upstream,Buttisholz,Rot_Zufl_Buttisholz_UpStr_1,LU,648175,218335,548
BUT_U_2,2,Upstream,Buttisholz,Rot_Zufl_Buttisholz_UpStr_2,LU,648293,218320,548
COL_E,NA,Effluent,Colombey,Senoge_Colombier_DoStr_0,VD,NA,NA,NA
COL_D,NA,Downstream,Colombey,Senoge_Colombier_DoStr_0,VD,526563,156498,492
COL_U_1,1,Upstream,Colombey,Senoge_Colombier_UpStr_1,VD,526376,156428,492
COL_U_2,2,Upstream,Colombey,Senoge_Colombier_UpStr_2,VD,526360,156397,492
DUE_E,NA,Effluent,Duernten,Schwarz_Dürnten_DoStr_0,ZH,NA,NA,NA
DUE_D,NA,Downstream,Duernten,Schwarz_Dürnten_DoStr_0,ZH,705305,235907,495
DUE_U_1,1,Upstream,Duernten,Schwarz_Dürnten_UpStr_1,ZH,705212,236165,495
DUE_U_2,2,Upstream,Duernten,Schwarz_Dürnten_UpStr_2,ZH,705115,236499,495
ELL_E,NA,Effluent,Ellikon,Älikerbach_Ellikon_DoStr_0,ZH,NA,NA,NA
ELL_D,NA,Downstream,Ellikon,Älikerbach_Ellikon_DoStr_0,ZH,704328,269747,378
ELL_U_1,1,Upstream,Ellikon,Älikerbach_Ellikon_UpStr_1,ZH,704475,269662,378
ELL_U_2,2,Upstream,Ellikon,Älikerbach_Ellikon_UpStr_2,ZH,704622,269571,378
ELG_E,NA,Effluent,Elgg,Eulach_Elgg_DoStr_0,ZH,NA,NA,NA
ELG_D,NA,Downstream,Elgg,Eulach_Elgg_DoStr_0,ZH,706447,262115,499
ELG_U_1,1,Upstream,Elgg,Eulach_Elgg_UpStr_1,ZH,706535,262077,499
ELG_U_2,2,Upstream,Elgg,Eulach_Elgg_UpStr_2,ZH,706609,262041,500
HER_E,NA,Effluent,Herisau,Glatt_Herisau_DoStr_0,AR,NA,NA,NA
HER_D,NA,Downstream,Herisau,Glatt_Herisau_DoStr_0,AR,737387,250988,698
HER_U_1,1,Upstream,Herisau,Glatt_Herisau_UpStr_1,AR,737625,250812,698
HER_U_2,2,Upstream,Herisau,Glatt_Herisau_UpStr_2,AR,737841,250776,698
HOC_E,NA,Effluent,Hochdorf,Ron_Hochdorf_DoStr_0,LU,NA,NA,NA
HOC_D,NA,Downstream,Hochdorf,Ron_Hochdorf_DoStr_0,LU,663579,225481,470
HOC_U_1,1,Upstream,Hochdorf,Ron_Hochdorf_UpStr_1,LU,663695,225303,470
HOC_U_2,2,Upstream,Hochdorf,Ron_Hochdorf_UpStr_2,LU,663815,225100,470
HOR_E,NA,Effluent,Hornussen,Sissle_Hornussen_DoStr_0,AG,NA,NA,NA
HOR_D,NA,Downstream,Hornussen,Sissle_Hornussen_DoStr_0,AG,645936,261567,370
HOR_U_1,1,Upstream,Hornussen,Sissle_Hornussen_UpStr_1,AG,646191,261599,370
HOR_U_2,2,Upstream,Hornussen,Sissle_Hornussen_UpStr_2,AG,646435,261595,370
KER_E,NA,Effluent,Kernten,Urtene_Kernenried_DoStr_0,BE,NA,NA,NA
KER_D,NA,Downstream,Kernten,Urtene_Kernenried_DoStr_0,BE,607717,211961,505
KER_U_1,1,Upstream,Kernten,Urtene_Kernenried_UpStr_1,BE,607537,211636,505
KER_U_2,2,Upstream,Kernten,Urtene_Kernenried_UpStr_2,BE,607318,211424,505
KNO_E,NA,Effluent,Knonau,Haselbach_Knonau_DoStr_0,ZH,NA,NA,NA
KNO_D,NA,Downstream,Knonau,Haselbach_Knonau_DoStr_0,ZH,676891,230628,421
KNO_U_1,1,Upstream,Knonau,Haselbach_Knonau_UpStr_1,ZH,676997,230577,421
KNO_U_2,2,Upstream,Knonau,Haselbach_Knonau_UpStr_2,ZH,677103,230570,422
MAR_E,NA,Effluent,Marthalen,Mederbach_Marthalen_DoStr_0,ZH,NA,NA,NA
MAR_D,NA,Downstream,Marthalen,Mederbach_Marthalen_DoStr_0,ZH,690215,275119,374
MAR_U_1,1,Upstream,Marthalen,Mederbach_Marthalen_UpStr_1,ZH,690301,275124,374
MAR_U_2,2,Upstream,Marthalen,Mederbach_Marthalen_UpStr_2,ZH,690408,275133,374
MES_E,NA,Effluent,Messen,Limpach_Messen_DoStr_0,SO,NA,NA,NA
MES_D,NA,Downstream,Messen,Limpach_Messen_DoStr_0,SO,602131,217644,470
MES_U_1,1,Upstream,Messen,Limpach_Messen_UpStr_1,SO,601443,217356,470
MES_U_2,2,Upstream,Messen,Limpach_Messen_UpStr_2,SO,600719,217057,470
MUR_E,NA,Effluent,Muri,Bünz_Muri_DoStr_0,AG,NA,NA,NA
MUR_D,NA,Downstream,Muri,Bünz_Muri_DoStr_0,AG,668378,237312,449
MUR_U_1,1,Upstream,Muri,Bünz_Muri_UpStr_1,AG,668350,237186,451
MUR_U_2,2,Upstream,Muri,Bünz_Muri_UpStr_2,AG,668318,237064,452
NIE_E,NA,Effluent,Niederdorf,Frenke_Niederdorf_DoStr_0,BL,NA,NA,NA
NIE_D,NA,Downstream,Niederdorf,Frenke_Niederdorf_DoStr_0,BL,624365,251730,459
NIE_U_1,1,Upstream,Niederdorf,Frenke_Niederdorf_UpStr_1,BL,624155,251459,459
NIE_U_2,2,Upstream,Niederdorf,Frenke_Niederdorf_UpStr_2,BL,624041,251242,459
REI_E,NA,Effluent,Reinach,Wyna_Reinach_DoStr_0,AG,NA,NA,NA
REI_D,NA,Downstream,Reinach,Wyna_Reinach_DoStr_0,AG,655231,235278,510
REI_U_1,1,Upstream,Reinach,Wyna_Reinach_UpStr_1,AG,655352,234939,513
REI_U_2,2,Upstream,Reinach,Wyna_Reinach_UpStr_2,AG,655497,234611,516
ROM_E,NA,Effluent,Romont,Glâne_Romont_DoStr_0,FR,NA,NA,NA
ROM_D,NA,Downstream,Romont,Glâne_Romont_DoStr_0,FR,561625,172658,688
ROM_U_1,1,Upstream,Romont,Glâne_Romont_UpStr_1,FR,561390,172511,688
ROM_U_2,2,Upstream,Romont,Glâne_Romont_UpStr_2,FR,561241,172410,688
ROT_E,NA,Effluent,Rothenthurm,Biber_Rothenthurm_DoStr_0,SZ,NA,NA,NA
ROT_D,NA,Downstream,Rothenthurm,Biber_Rothenthurm_DoStr_0,SZ,693425,218837,912
ROT_U_1,1,Upstream,Rothenthurm,Biber_Rothenthurm_UpStr_1,SZ,693413,218567,912
ROT_U_2,2,Upstream,Rothenthurm,Biber_Rothenthurm_UpStr_2,SZ,693409,218386,912
SEV_E,NA,Effluent,Severy,Combagnou_Severy_DoStr_0,VD,NA,NA,NA
SEV_D,NA,Downstream,Severy,Combagnou_Severy_DoStr_0,VD,523727,158534,597
SEV_U_1,1,Upstream,Severy,Combagnou_Severy_UpStr_1,VD,523429,158627,597
SEV_U_2,2,Upstream,Severy,Combagnou_Severy_UpStr_2,VD,523371,158619,597
UNT_E,NA,Effluent,Unterehrendingen,Surb_Unterehrendingen_DoStr_0,AG,NA,NA,NA
UNT_D,NA,Downstream,Unterehrendingen,Surb_Unterehrendingen_DoStr_0,AG,667870,262485,425
UNT_U_1,1,Upstream,Unterehrendingen,Surb_Unterehrendingen_UpStr_1,AG,667926,262407,426
UNT_U_2,2,Upstream,Unterehrendingen,Surb_Unterehrendingen_UpStr_2,AG,667990,262359,426
VAL_E,NA,Effluent,Val de Ruz,Seyon_Val-de-Ruz_DoStr_0,NE,NA,NA,NA
VAL_D,NA,Downstream,Val de Ruz,Seyon_Val-de-Ruz_DoStr_0,NE,561684,210867,714
VAL_U_1,1,Upstream,Val de Ruz,Seyon_Val-de-Ruz_UpStr_1,NE,561727,211028,714
VAL_U_2,2,Upstream,Val de Ruz,Seyon_Val-de-Ruz_UpStr_2,NE,561778,211168,714
VIL_E,NA,Effluent,Villeret,Suze_Villeret_DoStr_0,BE,NA,NA,NA
VIL_D,NA,Downstream,Villeret,Suze_Villeret_DoStr_0,BE,568722,223415,731
VIL_U_1,1,Upstream,Villeret,Suze_Villeret_UpStr_1,BE,568546,223350,733
VIL_U_2,2,Upstream,Villeret,Suze_Villeret_UpStr_2,BE,568442,223262,735
ZUL_E,NA,Effluent,Zullwil,Ibach_Zullwil_DoStr_0,SO,NA,NA,NA
ZUL_D,NA,Downstream,Zullwil,Ibach_Zullwil_DoStr_0,SO,611355,249699,549
ZUL_U_1,1,Upstream,Zullwil,Ibach_Zullwil_UpStr_1,SO,611361,249652,550
ZUL_U_2,2,Upstream,Zullwil,Ibach_Zullwil_UpStr_2,SO,611325,249613,551
